Barangay,Strong Materials,Light Materials,Salvaged / Makeshift Materials,Mixed but Predominantly Strong Materials,Mixed but Predominantly Light Materials,Mixed but Predominantly Salvaged Materials,Not Applicable,_orig_Barangay
ARENA BLANCO,12,490,900,16,228,67,0,ARENA BLANCO
AYALA,61,598,176,32,111,18,0,AYALA
BALIWASAN,14,299,54,38,39,14,0,BALIWASAN
BALUNO,3,189,70,13,53,23,0,BALUNO
BARANGAY ZONE I POB,2,25,4,5,9,9,0,BARANGAY ZONE I (POB.)
BARANGAY ZONE II POB,1,55,9,2,3,16,0,BARANGAY ZONE II (POB.)
BARANGAY ZONE III POB,2,12,3,2,1,0,0,BARANGAY ZONE III (POB.)
BARANGAY ZONE IV POB,50,54,8,5,7,0,0,BARANGAY ZONE IV (POB.)
BOALAN,20,184,39,11,27,18,1,BOALAN
BOLONG,29,335,50,17,76,84,0,BOLONG
BUENAVISTA,33,480,48,16,50,3,0,BUENAVISTA
BUNGUIAO,40,383,68,22,81,31,0,BUNGUIAO
BUSAY SACOL ISLAND,7,124,38,6,32,11,0,BUSAY (SACOL ISLAND)
CABALUAY,20,236,30,14,16,23,0,CABALUAY
CABATANGAN,8,190,73,12,54,37,0,CABATANGAN
CACAO,6,53,1,2,1,0,0,CACAO
CALABASA,11,229,10,3,18,1,0,CALABASA
CALARIAN,57,459,109,68,99,76,0,CALARIAN
CAMINO NUEVO,4,133,51,11,35,39,0,CAMINO NUEVO
CAMPO ISLAM,48,294,38,49,97,33,0,CAMPO ISLAM
CANELAR,7,52,11,4,24,16,0,CANELAR
CAPISAN,7,45,12,3,9,13,0,CAPISAN
CAWIT,30,337,31,26,52,15,0,CAWIT
CULIANAN,27,171,13,4,36,11,0,CULIANAN
CURUAN,72,795,37,17,32,0,0,CURUAN
DITA,7,148,33,3,11,2,0,DITA
DIVISORIA,7,126,31,4,32,17,0,DIVISORIA
DULIAN UPPER BUNGUIAO,2,121,16,3,33,12,0,DULIAN (UPPER BUNGUIAO)
DULIAN UPPER PASONANCA,0,35,9,5,11,4,0,DULIAN (UPPER PASONANCA)
GUISAO,9,106,10,10,2,1,0,GUISAO
GUIWAN,2,65,11,3,28,4,0,GUIWAN
KASANYANGAN,62,1836,163,33,380,49,5,KASANYANGAN
LA PAZ,63,354,56,26,192,23,1,LA PAZ
LABUAN,60,576,148,54,251,99,0,LABUAN
LAMISAHAN,6,197,25,3,13,1,1,LAMISAHAN
LANDANG GUA,7,259,56,14,57,29,0,LANDANG GUA
LANDANG LAUM,7,113,42,1,25,12,0,LANDANG LAUM
LANZONES,4,170,25,4,12,2,0,LANZONES
LAPAKAN,2,89,13,1,9,0,0,LAPAKAN
LATUAN CURUAN,27,262,26,10,5,1,0,LATUAN (CURUAN)
LICOMO,11,399,86,20,76,13,0,LICOMO
LIMAONG,10,341,54,6,17,20,0,LIMAONG
LIMPAPA,46,356,50,42,110,55,0,LIMPAPA
LUBIGAN,12,240,22,3,9,4,0,LUBIGAN
LUMAYANG,8,81,8,4,14,5,0,LUMAYANG
LUMBANGAN,5,98,115,1,21,22,0,LUMBANGAN
LUNZURAN,14,152,78,24,37,17,0,LUNZURAN
MAASIN,55,211,25,16,37,7,0,MAASIN
MALAGUTAY,6,85,26,7,25,14,0,MALAGUTAY
MAMPANG,136,816,113,95,171,59,1,MAMPANG
MANALIPA,19,230,53,11,48,19,0,MANALIPA
MANGUSU,8,374,36,8,43,28,0,MANGUSU
MANICAHAN,26,388,106,39,163,13,0,MANICAHAN
MARIKI,5,421,42,7,18,0,0,MARIKI
MERCEDES,62,493,64,30,95,31,0,MERCEDES
MUTI,30,265,27,10,27,9,0,MUTI
PAMUCUTAN,8,199,104,10,26,19,0,PAMUCUTAN
PANGAPUYAN,0,21,66,1,30,9,0,PANGAPUYAN
PANUBIGAN,6,132,17,3,5,2,0,PANUBIGAN
PASILMANTA SACOL ISLAND,14,127,28,11,25,17,0,PASILMANTA (SACOL ISLAND)
PASOBOLONG,5,152,40,2,35,6,0,PASOBOLONG
PASONANCA,21,302,88,32,97,70,0,PASONANCA
PATALON,108,480,128,18,88,21,0,PATALON
PUTIK,16,181,41,19,24,17,0,PUTIK
QUINIPUT,8,185,42,6,1,0,1,QUINIPUT
RECODO,135,695,91,84,272,24,2,RECODO
RIO HONDO,102,587,121,9,41,18,2,RIO HONDO
SALAAN,25,226,17,32,23,4,0,SALAAN
SAN JOSE CAWA-CAWA,3,27,7,3,18,0,1,SAN JOSE CAWA-CAWA
SAN JOSE GUSU,24,251,91,4,5,10,0,SAN JOSE GUSU
SAN ROQUE,46,421,116,56,158,79,0,SAN ROQUE
SANGALI,75,1077,233,87,257,124,1,SANGALI
SANTA BARBARA,57,156,21,50,77,14,1,SANTA BARBARA
SANTA CATALINA,97,299,80,14,70,34,1,SANTA CATALINA
SANTA MARIA,10,145,31,13,31,18,0,SANTA MARIA
SANTO NINO,1,42,15,8,10,4,0,SANTO NIÃ‘O
SIBULAO CARUAN,11,347,23,12,10,43,0,SIBULAO (CARUAN)
SINUBUNG,3,115,87,13,27,20,0,SINUBUNG
SINUNOC,57,377,252,65,347,239,0,SINUNOC
TAGASILAY,4,243,4,8,20,12,0,TAGASILAY
TAGUITI,5,125,29,3,9,7,0,TAGUITI
TALABAAN,12,248,80,5,50,12,0,TALABAAN
TALISAYAN,10,150,35,12,7,5,0,TALISAYAN
TALON-TALON,39,501,303,94,228,135,0,TALON-TALON
TALUKSANGAY,50,443,176,30,115,39,0,TALUKSANGAY
TETUAN,8,175,64,19,50,13,1,TETUAN
TICTAPUL,10,210,74,10,35,13,0,TICTAPUL
TIGBALABAG,4,69,5,1,6,5,0,TIGBALABAG
TIGTABON,5,311,451,12,74,12,0,TIGTABON
TOLOSA,13,231,37,1,117,5,0,TOLOSA
TUGBUNGAN,37,582,100,50,137,58,3,TUGBUNGAN
TULUNGATUNG,85,227,24,39,42,7,0,TULUNGATUNG
TUMAGA,40,331,61,26,89,34,2,TUMAGA
TUMALUTAB,17,185,52,13,53,18,0,TUMALUTAB
TUMITUS,12,262,25,11,19,18,0,TUMITUS
VICTORIA,10,103,7,10,10,9,0,VICTORIA
VITALI,26,671,41,20,47,102,1,VITALI
ZAMBOWOOD,11,248,91,10,42,33,0,ZAMBOWOOD
TOTAL,2519,27488,6850,1821,5989,2459,25,TOTAL
